CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,449,-1,2,-,"4,287.95",381.75,"1,025","4,107.10","4,328.50",900,"20,150.00","1,800",2.65,3.50,"1,000",-0.65,2.80,35.12,"1,535",-229,"7,368",
,862,-8,10,-,"4,235.00",82.00,"1,025","4,054.20","4,274.95","1,025","20,200.00","1,800",2.75,3.30,"1,800",-0.45,2.90,34.85,"1,506",4,"3,345",
,10,-,-,-,"4,179.45",-,"1,025","3,901.05","4,235.60","1,000","20,250.00",50,3.50,4.10,450,-0.10,4.00,35.74,32,11,408,
,156,-,-,-,"3,755.10",-,"1,025","3,853.55","4,144.70","1,025","20,300.00","1,800",2.80,8.90,300,0.05,3.65,34.95,89,-21,709,
,9,-,-,-,"4,082.90",-,"1,025","3,806.60","4,133.25","1,025","20,350.00",75,3.60,8.50,50,-0.10,4.35,35.26,14,2,715,
,35,-,-,-,"3,890.30",-,"1,775","3,741.25","4,042.90","1,000","20,400.00",50,3.00,9.80,300,-0.75,3.05,33.42,162,31,502,
,6,-3,6,34.54,"3,996.50",9.95,425,"3,751.80","4,006.35",900,"20,450.00",300,3.00,5.00,300,-1.85,2.90,32.83,42,-11,112,
,"6,619",-17,50,-,"3,863.00",-18.95,50,"3,835.40","3,863.15",25,"20,500.00","1,150",4.30,4.75,"1,200",0.05,4.75,34.37,"6,107",509,"18,857",
,9,-,-,-,"3,864.75",-,"1,775","3,599.15","3,891.45","1,000","20,550.00",800,3.70,17.10,"1,775",-0.50,4.00,33.25,89,-39,63,
,199,-18,19,-,"3,824.85",274.85,25,"3,715.15","3,820.85",25,"20,600.00","7,175",4.25,6.35,400,-4.55,4.25,33.07,847,265,548,
,10,-,-,-,"3,628.40",-,"1,775","3,524.70","3,790.25","1,000","20,650.00",700,3.70,-,-,-14.75,4.40,32.80,491,-157,141,
,104,-,-,-,"3,690.00",-5.00,25,"3,563.35","3,741.55","1,000","20,700.00",325,4.00,8.00,500,-0.75,4.70,32.64,7,5,256,
,10,-,-,-,"3,666.45",-,"1,775","3,410.35","3,689.35","1,000","20,750.00",900,3.80,5.30,750,-0.25,5.30,32.71,36,-29,74,
,20,-,-,-,"3,200.00",-,"1,775","3,411.40","3,616.20",25,"20,800.00",125,4.20,7.50,500,-0.35,4.50,31.64,10,-2,350,
,8,-,-,-,"3,591.10",-,"1,775","3,313.65","3,593.50","1,000","20,850.00",900,3.70,17.20,"1,775",-0.35,6.45,32.69,272,-122,92,
,15,-,-,-,"3,394.50",-,"1,775","3,316.80","3,538.15","1,000","20,900.00",625,4.35,6.95,75,-0.40,4.95,31.17,62,9,431,
,8,-,-,-,"3,492.40",-,"1,775","3,241.80","3,501.85","1,000","20,950.00",800,3.70,9.30,600,-2.30,4.70,30.56,48,-14,56,
,"18,819",-446,697,-,"3,350.00",-35.60,50,"3,340.30","3,365.20",25,"21,000.00","3,075",6.20,6.55,25,-0.45,6.20,31.24,"19,735","1,120","73,728",
,9,-,-,-,"3,391.85",-,"1,775","3,143.50","3,400.90","1,000","21,050.00",800,5.20,7.50,200,-1.95,5.05,30.00,32,4,163,
,315,-5,5,-,"3,250.00",216.00,25,"3,220.85","3,305.10",25,"21,100.00",25,5.65,8.00,300,-0.85,5.70,30.04,353,-208,"1,159",
,9,-,-,-,"3,121.75",-,"1,775","3,054.65","3,320.30","1,000","21,150.00",725,5.00,9.80,200,-0.10,6.00,29.82,50,-22,109,
,47,-1,3,-,"3,170.00",-48.15,25,"3,115.95","3,265.75","1,000","21,200.00",900,4.65,7.35,100,-0.35,6.40,29.65,388,-9,595,
,20,-,-,-,"2,890.50",-,"1,025","2,942.20","3,188.25","1,000","21,250.00",175,6.00,9.00,50,-1.30,6.00,28.97,21,17,177,
,217,-,-,-,"3,100.00",-,"1,775","2,839.60","3,108.10",25,"21,300.00",800,5.40,10.00,500,-0.65,6.45,28.83,"3,312",40,"1,090",
,8,-,-,-,"3,083.45",-,"1,775","2,866.45","3,088.00","1,000","21,350.00",800,5.20,8.60,50,-,14.90,-,-,-,168,
,35,-,-,-,"2,740.00",-,"1,775","2,779.10","3,006.90",25,"21,400.00",250,5.35,7.05,100,-0.95,7.00,28.29,"1,843",-29,"1,820",
,7,-,-,-,"2,766.05",-,300,"2,772.90","2,994.10","1,025","21,450.00",600,5.30,9.00,50,0.90,8.75,28.76,2,2,119,
,"2,004",-18,28,-,"2,870.00",-17.10,50,"2,844.55","2,862.30",50,"21,500.00",225,7.05,8.25,625,-1.60,7.05,27.46,"30,498","-6,173","30,433",
,9,-,-,-,"2,712.35",-,"1,025","2,663.75","2,887.95","1,000","21,550.00",800,6.20,14.35,25,-1.35,7.05,27.03,162,-42,877,
,41,-,-,-,"2,820.00",-,"1,775","2,513.20","2,811.15",25,"21,600.00",600,6.50,10.00,"5,000",-0.95,8.20,27.18,"7,163",41,"2,083",
,14,-,-,-,"2,715.00",-,300,"2,584.55","2,789.05","1,000","21,650.00",600,7.00,14.85,25,-,8.85,27.04,2,-,468,
,76,-,-,-,"2,581.60",-,250,"2,430.10","2,731.00","1,000","21,700.00","1,500",7.20,11.55,300,-1.15,8.65,26.51,"3,773",70,"4,273",
,13,-,-,-,"2,500.00",-,425,"2,478.05","2,704.55","1,000","21,750.00","1,500",7.35,17.80,25,-2.25,8.25,25.89,43,41,306,
,69,-,-,-,"2,311.90",-,25,"2,527.15","2,614.60",25,"21,800.00","1,500",7.90,15.00,300,-2.30,9.00,25.79,"9,693","1,375","3,447",
,45,-,-,-,"2,410.30",-,325,"2,245.10","2,589.10","1,000","21,850.00",600,7.50,20.40,"1,000",-4.40,9.60,25.59,383,215,276,
,88,-,-,-,"2,800.00",-,25,"2,431.10","2,527.05","1,000","21,900.00",200,8.55,14.00,50,-2.35,9.80,25.23,"18,895",407,"2,008",
,21,-,-,-,"2,313.55",-,"1,775","2,183.75","2,510.05","1,025","21,950.00","1,275",8.60,14.45,"1,300",-3.00,10.40,25.02,"3,877",175,346,
,"17,799",-212,345,-,"2,354.70",-46.80,50,"2,349.40","2,375.65",25,"22,000.00","1,650",10.95,11.35,125,-2.30,10.95,24.77,"61,169","1,818","61,641",
,25,-,-,-,"2,237.90",-,"1,775","2,101.85","2,397.45","1,000","22,050.00",600,9.20,20.00,100,-2.05,11.85,24.63,"3,862","1,316","1,727",
,156,-,1,-,"2,340.00",230.00,900,"2,220.60","2,300.00",25,"22,100.00","1,500",9.80,21.00,100,-2.95,12.15,24.27,"8,206",772,"6,713",
,31,-,-,-,"2,134.25",-,"1,775","2,029.85","2,297.55","1,000","22,150.00",25,12.20,18.95,"1,000",-2.60,12.50,23.93,74,-6,285,
,927,-,-,-,"2,205.45",-,900,"2,126.40","2,223.00",25,"22,200.00","1,000",14.00,14.50,25,-2.45,14.05,23.94,"15,855",-684,"8,483",
,23,-,22,-,"2,103.00",68.80,"1,775","1,903.10","2,195.45",900,"22,250.00",600,11.10,16.00,250,-5.05,11.95,22.84,"1,170",603,717,
,85,-3,3,24.37,"2,170.00",300.00,50,"2,052.65","2,090.55",25,"22,300.00",200,15.30,16.00,50,-1.55,15.95,23.52,"18,110","-1,394","7,931",
,20,-,-,-,"1,959.70",-,"1,775","1,823.00","2,090.80","1,000","22,350.00",175,15.10,22.55,"1,000",-1.75,16.55,23.20,452,66,411,
